,actual,predicted
168,1950.5000046491623,1985.5781928300858
169,1952.40003323555,1984.8043463230133
170,1950.999994635582,1984.0493634939194
171,1950.1999542713165,1983.2076743841171
172,1949.9999890327454,1982.4067113399506
173,1951.500010251999,1981.5070984363556
174,1954.0000114440918,1980.5325434207916
175,1958.9999881982803,1979.4692060947418
176,1958.000008225441,1978.737700343132
177,1953.0000058412552,1978.1893465518951
178,1949.9999890327454,1977.6859221458435
179,1952.0000002384186,1977.231963634491
180,1956.8000373840332,1976.7765185832977
181,1958.5999808311462,1976.4608595371246
182,1957.3000530004501,1976.2041494846344
183,1962.8000453710556,1975.965739250183
184,1951.6999498605728,1975.819878935814
185,1953.0000058412552,1975.7099006175995
186,1943.9000240564346,1975.5584273338318
187,1943.1999406814575,1975.5174193382263
188,1947.599970459938,1975.3338060379028
189,1943.1999406814575,1975.2171895503998
190,1939.4000116586685,1975.00330722332
191,1944.9000296592712,1974.873747587204
192,1954.0000114440918,1974.7625646591187
193,1956.599969625473,1974.6779600381851
194,1958.0999652147293,1974.7062299251556
195,1958.900031208992,1974.8141322135925
196,1957.8000429868698,1974.914909362793
197,1963.099967598915,1974.8785916566849
198,1960.5999664068222,1974.8946360349655
199,1953.4000132083893,1974.9319789409637
200,1958.0999652147293,1974.9960026741028
201,1961.3000497817993,1975.1529607772827
202,1968.999992966652,1975.320888519287
203,1966.300052165985,1975.6367526054382
204,1965.3000465631485,1976.1305145025253
205,1963.9000335931778,1976.497407913208
206,1966.0000017881393,1976.7429945468903
207,1964.9000135660172,1976.90387403965
208,1958.8000485897064,1977.2471622228622
209,1963.0000106096268,1977.5207624435425
210,1964.9999961853027,1977.7138588428497
211,1963.9999905824661,1977.9893556833267
212,1963.0000106096268,1978.237069606781
213,2029.699951171875,1978.4907809495926
214,1967.6999626159668,1978.908934354782
215,1957.9000256061554,1980.6137392520905
216,1976.8000469207764,1982.2622094154358
217,1995.0000104904175,1983.861316204071
218,1974.0999779701233,1985.4212859869003
219,1966.1999413967133,1987.044408082962
220,1959.9000368118286,1988.408231496811
221,1956.9000200033188,1989.3827608823776
222,1941.099972486496,1990.0850484371185
223,1909.3000403642654,1990.7874128818512
224,1905.5999658107758,1991.3282314538956
225,1910.6999508142471,1991.737670660019
226,1913.8000527620316,1991.9408396482468
227,1915.4999879598618,1991.9663927555084
228,1917.0999661684036,1991.894039273262
229,1931.9999907016754,1991.7219338417053
230,1925.800043106079,1991.656372308731
231,1932.5999633073807,1991.5800461769104
232,1926.49999833107,1991.4602003097534
233,1917.9999891519547,1991.4365181922913
234,1915.8000383377075,1991.290145277977
